little pipes many enemies little blocks high elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_51.txt,4.052989168253628,1.0,1,1.0,62.785382,10,1.0
little pipes many enemies some blocks low elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_52.txt,1.2979504397949522,0.39,1,1.0,80.624755,10,1.0
little pipes many enemies some blocks high elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_53.txt,2.6847419863542172,0.81,-100,0.0,81.53124500000001,10,1.0
little pipes many enemies many blocks low elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_54.txt,1.6541125317483387,0.5,-100,0.0,73.87828,10,1.0
little pipes many enemies many blocks high elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_55.txt,2.007577622748662,0.6,-100,0.0,203.659365,-30,0.0
some pipes no enemies little blocks low elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_56.txt,3.104946807608138,1.0,1,1.0,78.258205,10,1.0
some pipes no enemies little blocks high elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_57.txt,2.8597413490944135,0.86,1,1.0,86.5823,10,1.0
some pipes no enemies some blocks low elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_58.txt,2.751984926404601,0.83,1,1.0,69.94941,10,1.0
some pipes no enemies some blocks high elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_59.txt,1.6119827434659026,0.48,1,1.0,71.03523,-10,0.0
some pipes no enemies many blocks low elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_60.txt,1.394486182026586,0.42,1,1.0,95.84791,-10,0.0
some pipes no enemies many blocks high elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_61.txt,1.4900095937619076,0.45,-100,0.0,104.879515,-60,0.0
some pipes little enemies little blocks low elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_62.txt,3.1852027827178704,1.0,1,1.0,112.50647500000001,-10,0.0
some pipes little enemies little blocks high elevation,1400,2.5,1725220312794,../sampling/generated_level/generated_level_1725220312794_63.txt,4.096498642526633,1.0,-100,0.0,99.610755,10,1.0
some pipes little enemies some blocks low elevation,1400,2.5,1725220380334,../sampling/generated_level/generated_level_1725220380334_64.txt,2.689520893337016,0.81,1,1.0,90.65012,-10,0.0
some pipes little enemies some blocks high elevation,1400,2.5,1725220380334,../sampling/generated_level/generated_level_1725220380334_65.txt,2.7921894855879765,0.84,1,1.0,86.13446,-20,0.0
some pipes little enemies many blocks low elevation,1400,2.5,1725220380334,../sampling/generated_level/generated_level_1725220380334_66.txt,0.1258270427074033,0.04,1,1.0,82.639295,10,1.0
some pipes little enemies many blocks high elevation,1400,2.5,1725220380335,../sampling/generated_level/generated_level_1725220380335_67.txt,1.9920937668731027,0.6,1,1.0,96.49028999999999,-20,0.0
some pipes some enemies little blocks low elevation,1400,2.5,1725220380335,../sampling/generated_level/generated_level_1725220380335_68.txt,3.6766272102711803,1.0,1,1.0,80.23015500000001,10,1.0
some pipes some enemies little blocks high elevation,1400,2.5,1725220380335,../sampling/generated_level/generated_level_1725220380335_69.txt,2.911475400966984,0.87,1,1.0,91.25871500000001,10,1.0
some pipes some enemies some blocks low elevation,1400,2.5,1725220380335,../sampling/generated_level/generated_level_1725220380335_70.txt,2.28539936833348,0.69,1,1.0,99.31514999999999,-10,0.0
some pipes some enemies some blocks high elevation,1400,2.5,1725220380335,../sampling/generated_level/generated_level_1725220380335_71.txt,2.545416953445957,0.76,1,1.0,95.18698499999999,-100,0.0
some pipes some enemies many blocks low elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_72.txt,3.180986426316611,1.0,1,1.0,76.90863,10,1.0
some pipes some enemies many blocks high elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_73.txt,2.5688672931109213,0.77,1,1.0,73.291195,-40,0.0
some pipes many enemies little blocks low elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_74.txt,2.5114150960740504,0.75,1,1.0,86.450655,10,1.0
some pipes many enemies little blocks high elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_75.txt,2.306250956923636,0.69,1,1.0,98.72959999999999,-10,0.0
some pipes many enemies some blocks low elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_76.txt,2.6098032332295897,0.78,-100,0.0,72.276545,-30,0.0
some pipes many enemies some blocks high elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_77.txt,2.386564759226621,0.72,1,1.0,216.31795,-30,0.0
some pipes many enemies many blocks low elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_78.txt,1.13620864349758,0.34,-100,0.0,79.666,-30,0.0
some pipes many enemies many blocks high elevation,1400,2.5,1725220447812,../sampling/generated_level/generated_level_1725220447812_79.txt,0.21522762321387523,0.06,-100,0.0,29.481463,-40,0.0
