prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes many enemies little blocks low elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_26.txt,2.622271800328381,0.79,1,1.0,74.947285,10,1.0
no pipes many enemies little blocks high elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_27.txt,1.6348323511505682,0.49,1,1.0,62.459235,10,1.0
no pipes many enemies some blocks low elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_28.txt,1.3974877170949196,0.42,1,1.0,70.95244,-40,0.0
no pipes many enemies some blocks high elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_29.txt,1.3596737607024987,0.41,-100,0.0,26.5,-20,0.0
no pipes many enemies many blocks low elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_30.txt,0.5217387277793321,0.16,-100,0.0,0.0,-80,0.0
no pipes many enemies many blocks high elevation,700,2.7,1727206280768,../sampling/generated_level/generated_level_1727206280768_31.txt,0.4157475826307915,0.12,-100,0.0,18.938715499999997,-20,0.0
little pipes no enemies little blocks low elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_32.txt,2.9439771719765306,0.88,1,1.0,51.91967,10,1.0
little pipes no enemies little blocks high elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_33.txt,2.8488187079100467,0.85,1,1.0,92.815095,10,1.0
little pipes no enemies some blocks low elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_34.txt,0.9511634640006679,0.29,1,1.0,89.682615,10,1.0
little pipes no enemies some blocks high elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_35.txt,1.4976778176672525,0.45,1,1.0,103.416785,10,1.0
little pipes no enemies many blocks low elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_36.txt,0.07816103939990127,0.02,1,1.0,60.725168000000004,10,1.0
little pipes no enemies many blocks high elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_37.txt,0.2239685681286283,0.07,1,1.0,53.28001,-20,0.0
little pipes little enemies little blocks low elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_38.txt,2.3618359253429535,0.71,1,1.0,84.446505,10,1.0
little pipes little enemies little blocks high elevation,700,2.7,1727206302600,../sampling/generated_level/generated_level_1727206302600_39.txt,0.4288863110180139,0.13,1,1.0,64.2878175,-10,0.0
little pipes little enemies some blocks low elevation,700,2.7,1727206324427,../sampling/generated_level/generated_level_1727206324427_40.txt,2.0232436174141246,0.61,1,1.0,72.83412,-10,0.0
